start,english_subtitle,translation
00:18:44.373,Come on!,Und des Stehlens.
00:18:45.540,"""Six Million Dollar Man""!",Stehlen?
00:18:48.210,Steve Austin!,Was soll ich gestohlen haben?
00:18:50.711,"Actually, that would be",Notizzettel.
00:18:52.756,"a good salary for me,","-Notizzettel?
-Ja."
00:18:54.048,don't you think?,Was sind die wert? 50 Cent?
00:18:55.550,$6 million?,"Fünfzig Cent, ja."
00:18:56.509,Memo to Jan:,"Wenn man 1.000 Notizzettel
für 50 Cent das Stück klaut,"
00:18:59.429,I deserve a raise.,macht man damit Gewinn.
00:19:02.723,Don't we all?,"Damit treibst du die Firma
in die Pleite, Pam."
00:19:05.853,I'm sorry?,Ist das dein Ernst?
00:19:08.396,It's nothing.,Ja.
00:19:11.692,If you're unhappy,"Ich kann es nicht glauben. Ich meine,"
00:19:13.693,"with your compensation,","ich habe nicht mal
eine Büroklammer geklaut,"
00:19:15.737,maybe you should,und jetzt feuerst du mich.
00:19:18.406,take it up with H.R.,"Das Beste daran ist,"
00:19:20.741,Okay?,"dass wir dir
keine Abfindung zahlen müssen,"
00:19:24.621,"Not today, okay?",wegen groben Fehlverhaltens.
00:19:27.290,"Pam, just...",Räum einfach deinen Schreibtisch.
00:19:30.126,be professional.,Es tut mir leid.
00:19:48.519,[sighs],"Verarscht, du Lappen!"
00:19:51.272,I think I'm,Überraschung. Das war ein Witz.
00:19:53.107,a role model here.,Wir haben nur Spaß gemacht.
00:19:55.443,I think I garner,"Ok, er war eingeweiht.
Er war mein Komplize."
00:19:58.529,people's respect.,Das sollte den Zusammenhalt stärken.
00:20:01.782,Attention all Dunder Mifflin,"Wir haben dem Neuen
eine Tour durchs Büro gegeben,"
00:20:04.577,"employees, please.","ihm gezeigt, wie das bei uns so läuft."
00:20:07.247,We have a meeting,Von daher…
00:20:10.000,in the conference room,"-Mein Gott, wir haben dich voll…
-Du bist ein Idiot!"
00:20:14.503,A.S.A.P.,Das sehe ich anders.
00:20:31.896,"People I respect,",Was ist das Wichtigste in einer Firma?
00:20:35.107,"heroes of mine, would be...",Ist es der Cash-Flow?
00:20:36.359,Bob Hope.,Ist es der Lagerbestand?
00:20:39.403,Um...,"Nein, es sind die Menschen,"
00:20:43.532,Abraham Lincoln.,die Menschen.
00:20:45.868,Definitely.,"Mein stolzester Moment hier war nicht,"
00:20:47.703,Bono.,"als ich den Gewinn
um 17 % gesteigert habe,"
00:20:50.665,"Uh, and probably God...","oder als ich die Ausgaben gesenkt habe,
ohne Mitarbeiter zu entlassen."
00:20:54.627,would be the fourth one.,Nein.
00:20:56.380,And I just think,Da war ein junger Guatemalteke.
00:20:59.674,all those people,"Sein erster Job in diesem Land,
sprach kaum Englisch."
00:21:02.426,really helped the world,Er kam zu mir und sagte:
00:21:04.971,in so many ways,"""Mr. Scott."
00:21:07.223,"that it's, um...","würden Sie der Taufpate
meines Kindes werden?"""
00:21:21.363,it's really beyond words.,Daraus wurde nichts.
00:21:22.530,[mispronouncing],Wir feuerten ihn. Er war nutzlos.
00:21:30.247,It's really incalcalacable.,Hallo.
00:21:31.414,"Now, I know there are",Hallo.
00:21:32.582,"some rumors out there,","-Hallo.
-Wie geht's?"
00:21:34.125,and I just kinda wanna,"Gut. Ich dachte,
du gehst was trinken, mit den…"
00:21:36.420,set the record straight--,"Oh, nein."
00:21:38.130,I'm Assistant Regional Manger.,Ich habe es mir anders überlegt.
00:21:40.840,I should know first.,Und deine Kopfschmerzen?
00:21:42.259,Assistant,"-Besser, danke.
-Gut."
00:21:43.593,to the Regional Manager.,"-Gut, das ist toll.
-Ja."
00:21:45.136,"Okay, um, can you","-Ist…
-Ja?"
00:21:47.556,"just tell me, please?",Wirst du…
00:21:49.724,Just tell me quietly.,"-Ob ich jetzt gehe?
-Willst du… Ja."
00:21:52.184,Whisper it in my ear.,"-Ja, möchtest du…
-Ja."
00:21:54.479,I'm just about,Alles klar. Super.
00:21:55.521,to tell everyone.,Lass mich nur schnell…
00:21:57.566,- Can't you just tell us--,"-Oh, Roy.
-Ja."
00:21:59.276,- Please!,Hab ein schönes Wochenende.
00:22:00.777,Okay?,"Ja, klar, du auch."
00:22:03.070,Do you want me to tell them?,Viel Spaß dabei.
00:22:17.085,You don't know,Kommt mal mit.
00:22:26.303,what it is.,DER BESTE BOSS DER WELT
00:22:59.627,[chuckles],Untertitel von: Martin Knuhr
